Protein,Gene ID,source_id,Product Description,Protein Length,Ortholog count,Paralog count,ProtNLM_Top1,ProtNLM_Top1_Score,ProtNLM_Top10,ProtNLM_Top1_Generic,ProtNLM_Score_GE_0.2,ProtNLM_Score_GE_0.5,ProtNLM_Score_GE_0.8,ProtNote_Top_GO,ProtNote_Top_GO_Description,ProtNote_Top_Probability,ProtNote_Top_Rank,ProtNote_Top_Specific_GO,ProtNote_Top_Specific_Description,ProtNote_Top_Specific_Probability,ProtNote_Top_Specific_Rank,ProtNote_NonObsolete_Count,ProtNote_Specific_Count,ProtNote_HighConf_Specific_Count,ProtNote_All_Specific_Descriptions,Has_ProtNote_Specific_Prediction,Has_HighConf_ProtNote_Specific,ProtNLM_NonGeneric,Candidate_Priority_Score,GO2SUM_Function_Text,GO2SUM_Function_Word_Count,GO2SUM_Function_Exact_Duplicate_Count,GO2SUM_Function_Review_Reasons,GO2SUM_Function_Review_Flag,GO2SUM_Pathway_Text,GO2SUM_Pathway_Word_Count,GO2SUM_Pathway_Exact_Duplicate_Count,GO2SUM_Pathway_Review_Reasons,GO2SUM_Pathway_Review_Flag,GO2SUM_Subunit_Text,GO2SUM_Subunit_Word_Count,GO2SUM_Subunit_Exact_Duplicate_Count,GO2SUM_Subunit_Review_Reasons,GO2SUM_Subunit_Review_Flag,GO2SUM_Any_Review_Flag,GO2SUM_Number_Of_Flagged_Output_Types
B9J08_003929,B9J08_003929,B9J08_003929-t37_1,hypothetical protein,466,8,0,CUB domain-containing protein,0.166198432136526,CUB domain-containing protein [0.1662] | Hypothetical protein [0.0599] | (pine wood nematode) hypothetical protein [0.0530] | Arrestin_N domain-containing protein [0.0390] | Tolloid-like protein 2 [0.0291] | VWFD domain-containing protein [0.0233] | MATH domain-containing protein [0.0194] | Tolloid-like protein 1 [0.0125] | DUF1619 domain-containing protein [0.0077] | DUF1769-domain-containing protein [0.0043],False,False,False,False,GO:0005575,cellular_component,0.8135,1,GO:0044424,intracellular part,0.5587,3,18,11,1,intracellular part | multi-organism process | interspecies interaction between organisms | membrane | external encapsulating structure part | protein-containing complex | intracellular organelle | methionine-tRNA ligase activity | intracellular protein-containing complex | ligase activity | symbiotic process,True,True,True,3,Probable thiol-disulfide oxidoreductase that plays a role in virulence.,9,1,,False,Secondary metabolite biosynthesis.,3,19,,False,Homodimer.,1,182,,False,False,0
B9J08_001954,B9J08_001954,B9J08_001954-t37_1,hypothetical protein,799,19,0,BRCT domain-containing protein,0.1649358533160662,BRCT domain-containing protein [0.1649] | Protein transport protein sec16 [0.0857] | Rab-GAP TBC domain-containing protein [0.0672] | DUF3818 domain-containing protein [0.0453] | PH domain-containing protein [0.0373] | Mus7/MMS22 family-domain-containing protein [0.0233] | Protein FYV8 [0.0195] | Similar to [0.0124] | Protein FYV10 [0.0102] | Rab-GTPase-TBC domain-containing protein [0.0076],False,False,False,False,GO:0008150,biological_process,0.8515,1,GO:0043170,macromolecule metabolic process,0.6604,3,19,16,16,macromolecule metabolic process | organic substance metabolic process | cellular metabolic process | metabolic process | regulation of biological process | primary metabolic process | regulation of nucleobase-containing compound metabolic process | nitrogen compound metabolic process | cellular macromolecule metabolic process | regulation of RNA metabolic process | heterochromatin assembly | regulation of biosynthetic process | regulation of metabolic process | regulation of cellular biosynthetic process | regulation of macromolecule metabolic process | regulation of cellular process,True,True,True,3,Controls the turnover of the methylmalonyl-CoA methyltransferase MalF. Catalyzes the methylation of malonyl-CoA to malonyl-CoA.,15,1,,False,Cofactor biosynthesis; iron-sulfur cluster biosynthesis.,5,6,,False,"May be part of a multisubunit complex containing at least catalytic alpha, beta and gamma.",15,1,,False,False,0
B9J08_003487,B9J08_003487,B9J08_003487-t37_1,hypothetical protein,66,5,0,Secreted protein,0.1622546705586142,"Secreted protein [0.1623] | GPI anchored protein [0.0327] | Expressed protein [0.0293] | Secreted peptide [0.0261] | GPI anchored protein, [0.0128] | Hypothetical_protein [0.0124] | Repressed By RIM101 protein 1 [0.0060] | Repressed By RIM101 protein 1-like [0.0039] | GPI-anchored protein [0.0028] | WGS project CABT00000000 data, contig 2.2 [0.0026]",False,False,False,False,GO:0005575,cellular_component,0.9675,1,GO:0016020,membrane,0.7116,4,18,12,5,membrane | plasma membrane | organelle part | intrinsic component of membrane | response to stimulus | cellular response to stimulus | cell outer membrane | regulation of growth | intracellular part | positive regulation of cell death | positive regulation of cellular process | regulation of cellular process,True,True,True,3,May play a role in the cellular response to oxidative stress.,11,2,,False,Protein modification; protein glycosylation.,4,85,,False,Interacts with B'THETA and B'THETA.,5,13,,False,False,0
B9J08_000859,B9J08_000859,B9J08_000859-t37_1,hypothetical protein,499,4,0,Flocculation protein FLO11,0.1620616529502164,Flocculation protein FLO11 [0.1621] | Flocculation protein FLO11-like [0.1543] | PA14 domain-containing protein [0.0274] | SEA domain-containing protein [0.0242] | Mucin-5AC-like [0.0223] | Flocculation protein FLO10 [0.0149] | Flocculation protein FLO9 [0.0145] | Mucin-2-like [0.0126] | WSC domain-containing protein [0.0093] | Mucin-5AC [0.0075],False,False,False,False,GO:0005575,cellular_component,0.9586,1,GO:0031225,anchored component of membrane,0.7962,4,16,11,5,anchored component of membrane | intrinsic component of membrane | plasma membrane | membrane | extracellular region | cell wall | external encapsulating structure part | cell wall organization or biogenesis | cellular component biogenesis | integral component of membrane | external encapsulating structure,True,True,True,3,Plays a role in cell wall biogenesis and integrity.,9,1,,False,Glycolipid biosynthesis.,2,9,,False,Interacts with B'THETA and B'THETA.,5,13,,False,False,0
B9J08_004101,B9J08_004101,B9J08_004101-t37_1,hypothetical protein,286,1760,2,Aa_trans domain-containing protein,0.1610797824540927,"Aa_trans domain-containing protein [0.1611] | Hypothetical protein [0.0434] | Acyl_transf_3 domain-containing protein [0.0361] | Hypothetical membrane protein [0.0349] | Ceramidase [0.0316] | Transmembrane protein [0.0295] | Acyltransferase [0.0283] | Transmembrane protein, [0.0232] | Conserved hypothetical membrane protein [0.0174] | Hypothetical_protein [0.0172]",False,False,False,False,GO:0044425,membrane part,0.9565,1,GO:0016021,integral component of membrane,0.9249,3,17,10,10,"integral component of membrane | intrinsic component of membrane | membrane | hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides | organonitrogen compound metabolic process | nitrogen compound metabolic process | organic substance metabolic process | cellular metabolic process | hydrolase activity | metabolic process",True,True,True,3,Deacetylates N-acetyl-alpha-D-glucosamine to produce acetate and L-aspartate.,7,1,,False,Nitrogen metabolism.,2,20,,False,Homotrimer.,1,54,,False,False,0
B9J08_000919,B9J08_000919,B9J08_000919-t37_1,hypothetical protein,234,19,0,GPI-anchored protein,0.1586656735350159,"GPI-anchored protein [0.1587] | GPI-anchor transamidase [0.1508] | GPI anchored protein [0.1310] | Gpi anchored protein [0.0341] | GPI-anchored protein 43 [0.0318] | Gpi anchored serine-threonine rich protein [0.0170] | GPI anchored protein, [0.0147] | Gpi anchored cell wall protein [0.0124] | Twinfilin-1 [0.0108] | AAI domain-containing protein [0.0103]",False,False,False,False,GO:0005575,cellular_component,0.9633,1,GO:0031224,intrinsic component of membrane,0.7055,4,17,9,6,intrinsic component of membrane | membrane | anchored component of membrane | integral component of membrane | plasma membrane | extracellular region | intracellular organelle | regulation of cell growth | intracellular part,True,True,True,3,Probably plays a role in cell division.,7,4,,False,Anchor biosynthesis; OBSOLETE biosynthesis.,4,10,obsolete_placeholder,True,Interacts with OBSOLETE.,3,42,obsolete_placeholder,True,True,2
B9J08_002507,B9J08_002507,B9J08_002507-t37_1,hypothetical protein,120,5,0,Hydrophobic surface binding protein A-domain-containing protein,0.1569620709547347,Hydrophobic surface binding protein A-domain-containing protein [0.1570] | Secreted protein [0.0971] | Opaque-phase-specific protein OP4 [0.0495] | Cell wall mannoprotein 1 [0.0456] | Hydrophobic surface binding protein A domain-containing protein [0.0318] | Hydrophobic surface binding protein A [0.0286] | Similar to [0.0281] | Str. FM013 [0.0212] | Antigenic cell wall protein [0.0201] | Hydrophobic surface binding protein [0.0091],False,False,False,False,GO:0005575,cellular_component,0.757,1,GO:0044462,external encapsulating structure part,0.5023,4,18,12,1,"external encapsulating structure part | multi-organism process | extracellular region | transferase activity | external encapsulating structure | periplasmic space | cell wall | membrane | outer membrane-bounded periplasmic space | bacterial-type flagellum part | pathogenesis | transferase activity, transferring phosphorus-containing groups",True,True,True,3,Catalyzes the transfer of a ribosyl moiety from coenzyme A to an unknown acceptor.,14,1,,False,Glycan metabolism; OBSOLETE biosynthesis.,4,12,obsolete_placeholder,True,Homodimer.,1,182,,False,True,1
B9J08_001268,B9J08_001268,B9J08_001268-t37_1,hypothetical protein,276,5,0,Huntingtin,0.1564240338635899,Huntingtin [0.1564] | Huntingtin-like [0.0785] | Sister chromatid cohesion PDS5-like protein [0.0395] | Aberrant lateral root formation 4 [0.0247] | FRY like transcription coactivator [0.0206] | HEAT repeat-containing protein 1 [0.0196] | Serine/threonine-protein kinase ATR [0.0161] | Huntingtin-like protein [0.0118] | Nipped-B protein [0.0104] | Condensin complex subunit 1 [0.0084],False,False,False,False,GO:0008150,biological_process,0.7576,1,GO:0098772,molecular function regulator,0.6607,2,20,15,5,molecular function regulator | enzyme regulator activity | enzyme activator activity | molecular function activator activity | intracellular part | transport | organelle part | regulation of hydrolase activity | positive regulation of hydrolase activity | nitrogen compound transport | organic cyclic compound binding | organic substance transport | localization | establishment of localization | heterocyclic compound binding,True,True,True,3,This protein is an allosteric activator of the nitric oxide reductase.,11,1,,False,Nitrogen metabolism.,2,20,,False,Homodimer.,1,182,,False,False,0
B9J08_004186,B9J08_004186,B9J08_004186-t37_1,hypothetical protein,597,23,0,Pentatricopeptide repeat-containing protein,0.1554247288659271,"Pentatricopeptide repeat-containing protein [0.1554] | Pentatricopeptide repeat protein [0.0793] | Pentatricopeptide repeat-containing protein, mitochondrial [0.0473] | Pentatricopeptide repeat domain-containing protein [0.0408] | Leucine-rich PPR motif-containing protein, mitochondrial [0.0370] | Protein PTCD3 homolog, mitochondrial [0.0214] | Pentatricopeptide repeat-containing protein At1g55890, mitochondrial-like [0.0191] | Pentatricopeptide repeat-containing protein At1g55890, mitochondrial [0.0184] | TPR_REGION domain-containing protein [0.0167] | Pentatricopeptide repeat-containing protein At1g51965, mitochondrial [0.0162]",False,False,False,False,GO:0005575,cellular_component,0.9679,1,GO:0044424,intracellular part,0.9513,3,19,10,10,intracellular part | intracellular organelle | intracellular membrane-bounded organelle | mitochondrion | macromolecule metabolic process | metabolic process | organic substance metabolic process | nitrogen compound metabolic process | cellular metabolic process | primary metabolic process,True,True,True,3,Interconverts nicotinamide with 6-hydroxymethylpyruvate to N-carbamoyl-L-alanine.,6,1,,False,Cofactor biosynthesis; OBSOLETE biosynthesis.,4,47,obsolete_placeholder,True,Homodimer.,1,182,,False,True,1
B9J08_003751,B9J08_003751,B9J08_003751-t37_1,hypothetical protein,222,8,0,CULLIN_2 domain-containing protein,0.1541298896436214,CULLIN_2 domain-containing protein [0.1541] | Exocyst complex component 5 [0.0719] | Sec3_C domain-containing protein [0.0571] | Exocyst complex component Sec10 [0.0534] | FH2 domain-containing protein [0.0255] | Hypothetical protein [0.0252] | Programmed cell death protein 10 [0.0165] | E3 SUMO-protein ligase MMS21-like [0.0126] | E3 SUMO-protein ligase KIAA1586-like [0.0110] | E3 SUMO-protein ligase MMS21 [0.0083],False,False,False,False,GO:0008150,biological_process,0.9018,1,GO:0044424,intracellular part,0.7732,4,20,12,12,intracellular part | negative regulation of biological process | regulation of biological process | negative regulation of response to stimulus | cytosol | protein binding | regulation of response to stimulus | membrane | negative regulation of signal transduction | identical protein binding | organelle membrane | regulation of signal transduction,True,True,True,3,"Inhibits signal transduction by increasing the GTPase activity of G protein alpha subunits thereby driving them into their inactive GDP-bound form. Binds to G-alpha and G-alpha, but not to G-alpha.",30,1,,False,Lipid metabolism; fatty acid metabolism.,5,20,,False,Homodimer.,1,182,,False,False,0
B9J08_005080,B9J08_005080,B9J08_005080-t37_1,hypothetical protein,167,11,0,Lipoprotein,0.1532083475341309,Lipoprotein [0.1532] | Transcriptional regulator [0.0382] | Conserved domain protein [0.0292] | Group-specific protein [0.0275] | Orphan protein [0.0104] | DUF4349 domain-containing protein [0.0095] | DNA repair ATPase [0.0093] | Orphan protein membrane protein [0.0086] | DNA repair protein [0.0085] | Hypothetical membrane protein [0.0068],False,False,False,False,GO:0008150,biological_process,0.8941,1,GO:0008152,metabolic process,0.6984,4,17,12,5,metabolic process | organic substance metabolic process | cellular metabolic process | integral component of membrane | intrinsic component of membrane | organic substance biosynthetic process | primary metabolic process | organonitrogen compound metabolic process | transmembrane transporter activity | nitrogen compound metabolic process | phosphorus metabolic process | biosynthetic process,True,True,True,3,Probably part of an ABC transporter complex. Probably responsible for the translocation of the substrate across the membrane,18,1,,False,Siderophore biosynthesis.,2,6,,False,Homotrimer.,1,54,,False,False,0
B9J08_001437,B9J08_001437,B9J08_001437-t37_1,hypothetical protein,257,18,0,Outer membrane lipoprotein-sorting protein,0.153130380704513,Outer membrane lipoprotein-sorting protein [0.1531] | DUF3108 domain-containing protein [0.0632] | PAP_fibrillin domain-containing protein [0.0540] | Ribonuclease P protein subunit p40 [0.0204] | ADPrib_exo_Tox domain-containing protein [0.0155] | Ribonuclease Z [0.0146] | LPP domain-containing protein [0.0132] | Virulence protein [0.0090] | Lipid-binding hydrolase [0.0080] | Outer membrane lipoprotein [0.0067],False,False,False,False,GO:0008150,biological_process,0.8063,1,GO:0006807,nitrogen compound metabolic process,0.5232,6,18,11,2,nitrogen compound metabolic process | metabolic process | organic substance metabolic process | small molecule binding | cellular metabolic process | ion binding | anion binding | periplasmic space | macromolecule metabolic process | cell motility | lyase activity,True,True,True,3,"The cytochrome b5/NADH cytochrome b5 reductases are involved in desaturation and elongation of fatty acids, cholesterol biosynthesis, drug metabolism, and, in erythrocyte, methemoglobin reduction. They oxidize a variety of structurally unrelated compounds, including steroids, fatty acids, and xenobiotics.",38,1,,False,Energy metabolism; nitrogen metabolism.,4,4,,False,Homodimer.,1,182,,False,False,0
B9J08_005277,B9J08_005277,B9J08_005277-t37_1,hypothetical protein,241,20,0,Hint domain-containing protein,0.1513265129519083,Hint domain-containing protein [0.1513] | SH3 domain-containing protein [0.0492] | HintN domain-containing protein [0.0261] | Asp_Arg_Hydrox domain-containing protein [0.0132] | SET domain-containing protein [0.0121] | NMD3 domain-containing protein [0.0086] | Galectin [0.0081] | Galectin domain-containing protein [0.0080] | PTX3 [0.0068] | SH3_6 domain-containing protein [0.0066],False,False,False,False,GO:0005488,binding,0.6832,1,GO:0030246,carbohydrate binding,0.6322,3,18,14,4,carbohydrate binding | cell-cell recognition | protein binding | cell recognition | molecular template activity | sperm-egg recognition | extracellular region | membrane | multi-organism process | regulation of localization | protein-containing complex | monosaccharide binding | mannose binding | interspecies interaction between organisms,True,True,True,3,May play an important role in sperm-egg interaction during fertilization.,10,1,,False,Protein modification; protein glycosylation.,4,85,,False,Homotrimer.,1,54,,False,False,0
B9J08_003818,B9J08_003818,B9J08_003818-t37_1,hypothetical protein,281,33,1,Ribosome biogenesis protein SLX9,0.1486011375723897,Ribosome biogenesis protein SLX9 [0.1486] | RAD51_interact domain-containing protein [0.0686] | Ribosomal RNA-processing protein 8 [0.0570] | Hypothetical_protein [0.0246] | Centromere protein U [0.0245] | Mif2_N domain-containing protein [0.0190] | CENP-C_C domain-containing protein [0.0119] | DNA replication regulator SLD2 [0.0103] | Conserved leucine-rich repeat protein [0.0088] | Ribosomal RNA processing Brix domain protein [0.0029],False,False,False,False,GO:0005575,cellular_component,0.9674,1,GO:0044424,intracellular part,0.9166,3,20,14,14,intracellular part | intracellular organelle | nucleus | intracellular membrane-bounded organelle | negative regulation of metabolic process | negative regulation of macromolecule metabolic process | cytoplasm | negative regulation of biosynthetic process | regulation of metabolic process | negative regulation of cellular biosynthetic process | regulation of biological process | regulation of macromolecule metabolic process | organelle part | negative regulation of gene expression,True,True,True,3,Negatively regulates the activity of the thioredoxin reductase thioredoxins.,9,1,,False,Lipid metabolism; fatty acid metabolism.,5,20,,False,Interacts with BHLH148.,3,5,,False,False,0
B9J08_002319,B9J08_002319,B9J08_002319-t37_1,hypothetical protein,489,19,1,Reverse transcriptase domain-containing protein,0.1455004550238964,Reverse transcriptase domain-containing protein [0.1455] | Retrovirus-related Pol polyprotein from transposon TNT 1-94 [0.0441] | Signal peptide protein [0.0211] | Integrase catalytic domain-containing protein [0.0205] | CDT1 domain-containing protein [0.0135] | Reverse transcriptase Ty1/copia-type domain-containing protein [0.0121] | Nucleoporin [0.0088] | Signal transducer and activator of transcription [0.0079] | Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM [0.0074] | Conserved oligomeric Golgi complex subunit 3 [0.0071],False,False,False,False,GO:0005575,cellular_component,0.8414,1,GO:0044424,intracellular part,0.7734,3,17,8,4,intracellular part | cellular metabolic process | organic substance metabolic process | intracellular organelle | primary metabolic process | metabolic process | intracellular membrane-bounded organelle | nucleobase-containing compound metabolic process,True,True,True,3,This protein is an obisonelite oxidoreductase.,6,1,,False,Carbohydrate metabolism; OBSOLETE biosynthesis.,4,38,obsolete_placeholder,True,Homodimer.,1,182,,False,True,1
B9J08_001480,B9J08_001480,B9J08_001480-t37_1,hypothetical protein,669,3,0,DUF3715 domain-containing protein,0.1435783246128317,DUF3715 domain-containing protein [0.1436] | DUF3883 domain-containing protein [0.0867] | DUF2146 family protein [0.0186] | DUF1801 domain-containing protein [0.0165] | DUF4806 domain-containing protein [0.0149] | BAH domain-containing protein [0.0137] | DEP domain-containing protein [0.0096] | DUF4388 domain-containing protein [0.0082] | UPF0378 protein KIAA0100 [0.0063] | Si:ch211-166a6.5 [0.0044],False,False,False,False,GO:0008150,biological_process,0.9004,1,GO:0044237,cellular metabolic process,0.7193,4,18,11,11,cellular metabolic process | regulation of biological process | metabolic process | phosphate-containing compound metabolic process | regulation of cellular process | phosphorus metabolic process | organic substance metabolic process | organophosphate metabolic process | organophosphate biosynthetic process | primary metabolic process | signal transduction,True,True,True,3,Synthesizes deoxyribose-5-phosphate from ribose-5-phosphate and phosphoenolpyruvate.,6,1,,False,Carbohydrate degradation; 2-deoxy-D-ribose 1-phosphate biosynthesis; deoxy-D-ribose 1-phosphate from D-ribulose 5-phosphate : step 1/1.,13,1,extreme_length_outlier,True,Homodimer.,1,182,,False,True,1
B9J08_000799,B9J08_000799,B9J08_000799-t37_1,hypothetical protein,603,34,0,Ras-associating domain-containing protein,0.1426899806268612,Ras-associating domain-containing protein [0.1427] | Response regulatory domain-containing protein [0.1090] | ULP_PROTEASE domain-containing protein [0.1051] | DNA helicase [0.0373] | Protein kinase domain-containing protein [0.0320] | DNA_mis_repair domain-containing protein [0.0247] | Ubiquitinyl hydrolase 1 [0.0178] | AAA domain-containing protein [0.0122] | Response regulator [0.0080] | Response regulator receiver domain-containing protein [0.0034],False,False,False,False,GO:0008150,biological_process,0.9856,1,GO:0044424,intracellular part,0.9684,4,20,11,11,intracellular part | regulation of biological process | regulation of cellular process | intracellular membrane-bounded organelle | intracellular organelle | nucleus | cytoplasm | signal transduction | protein binding | regulation of metabolic process | cellular component organization or biogenesis,True,True,True,3,Contains a zinc finger that can act as a transcriptional activator or repressor.,13,1,,False,Amino-acid biosynthesis; ergothioneine biosynthesis.,4,13,,False,Interacts with B'GAMMA and B'GAMMA in a mutually exclusive manner.,10,3,,False,False,0
B9J08_004002,B9J08_004002,B9J08_004002-t37_1,hypothetical protein,554,24,0,2OG-FeII_Oxy_2 domain-containing protein,0.1419125054667971,2OG-FeII_Oxy_2 domain-containing protein [0.1419] | Dedicator of cytokinesis protein 6 [0.0396] | Rap-GAP domain-containing protein [0.0267] | WD_REPEATS_REGION domain-containing protein [0.0204] | DUF3591 domain-containing protein [0.0180] | Bromo domain-containing protein [0.0154] | Coiled-coil domain-containing protein lobo homolog [0.0094] | Dedicator of cytokinesis protein 7 [0.0078] | Coiled-coil domain-containing protein [0.0066] | Dedicator of cytokinesis protein 7-like [0.0059],False,False,False,False,GO:0008150,biological_process,0.9279,1,GO:0044424,intracellular part,0.8517,3,17,9,8,intracellular part | cellular metabolic process | intracellular organelle | intracellular membrane-bounded organelle | metabolic process | transport | localization | establishment of localization | organic substance metabolic process,True,True,True,3,Probably affects the activity of some cytoplasmic chaperones.,8,1,,False,Carbohydrate metabolism; OBSOLETE biosynthesis.,4,38,obsolete_placeholder,True,Homodimer.,1,182,,False,True,1
B9J08_001226,B9J08_001226,B9J08_001226-t37_1,hypothetical protein,253,24,0,CPSF73-100_C domain-containing protein,0.1410006116429359,CPSF73-100_C domain-containing protein [0.1410] | EC:2.3.1.35 [0.0208] | ATP-grasp domain-containing protein [0.0133] | ATP-grasp_2 domain-containing protein [0.0130] | EC:2.3.1.97 [0.0120] | BPI2 domain-containing protein [0.0114] | EC:2.3.1.85 [0.0112] | PAP_fibrillin domain-containing protein [0.0080] | Acetyltransferase [0.0063] | Fatty acid-binding protein [0.0054],False,False,False,False,GO:0008150,biological_process,0.8137,1,GO:0051704,multi-organism process,0.6714,3,18,12,12,multi-organism process | organophosphate biosynthetic process | nucleotide metabolic process | organophosphate metabolic process | nucleoside phosphate metabolic process | nucleoside phosphate biosynthetic process | aromatic compound biosynthetic process | intracellular part | phosphate-containing compound metabolic process | organonitrogen compound biosynthetic process | cellular biosynthetic process | nucleotide biosynthetic process,True,True,True,3,This enzyme is involved in the biosynthesis of deoxyribonucleotides.,9,1,,False,Carbohydrate biosynthesis; dTMP biosynthesis via salvage pathway; dTMP from thymine: step 1/2.,12,1,extreme_length_outlier,True,Homodimer.,1,182,,False,True,1
B9J08_000438,B9J08_000438,B9J08_000438-t37_1,hypothetical protein,279,147,4,Cell wall protein,0.1409224397935855,"Cell wall protein [0.1409] | GPI anchored protein [0.0904] | Secreted protein [0.0365] | Cell wall protein PGA31 [0.0212] | GPI anchored protein, [0.0199] | Cell wall mannoprotein CIS3 [0.0198] | Hyphal_reg_CWP domain-containing protein [0.0116] | Cell wall protein, [0.0109] | Cell wall protein Phi1 [0.0105] | GPI anchored serine-rich protein [0.0094]",False,False,False,False,GO:0005575,cellular_component,0.9367,1,GO:0005618,cell wall,0.7894,2,19,14,11,"cell wall | external encapsulating structure | multi-organism process | interspecies interaction between organisms | cell wall organization or biogenesis | fungal-type cell wall | intrinsic component of membrane | extracellular region | cellular component organization or biogenesis | cell wall organization | anchored component of membrane | fungal-type cell wall organization or biogenesis | transferase activity, transferring glycosyl groups | cellular component organization",True,True,True,3,Involved in cell wall biosynthesis where it is required for the transfer of the GlcNAc residue from UDP-GlcNAc to the non-reducing end of the growing mannan.,26,1,,False,Glycan metabolism; OBSOLETE biosynthesis.,4,12,obsolete_placeholder,True,Interacts with RAR3.,3,5,,False,True,1
B9J08_003694,B9J08_003694,B9J08_003694-t37_1,hypothetical protein,604,22,0,Transmembrane protein 268,0.1404363868774528,Transmembrane protein 268 [0.1404] | Transmembrane protein C9orf5 [0.0474] | Transmembrane protein 245 [0.0434] | Transmembrane protein [0.0412] | Hypothetical protein [0.0319] | Transmembrane protein 266 [0.0298] | EF-hand domain-containing protein [0.0227] | GRAM domain-containing protein [0.0221] | Transmembrane protein 268-like [0.0219] | Hypothetical_protein [0.0219],False,False,False,False,GO:0005575,cellular_component,0.9885,1,GO:0016021,integral component of membrane,0.9585,3,16,9,3,integral component of membrane | intrinsic component of membrane | intracellular part | programmed cell death | developmental process | multicellular organismal process | mechanosensitive ion channel activity | anatomical structure development | cell death,True,True,True,3,Mechanosensitive channel that opens in response to stretch forces in the membrane lipid bilayer.,14,1,,False,Protein modification; protein glycosylation.,4,85,,False,Homotrimer.,1,54,,False,False,0
B9J08_002655,B9J08_002655,B9J08_002655-t37_1,hypothetical protein,688,9,0,RICTOR_V domain-containing protein,0.138616231962416,RICTOR_V domain-containing protein [0.1386] | TPR_REGION domain-containing protein [0.1323] | Anaphase-promoting complex subunit 3 [0.0375] | Rapamycin-insensitive companion of mTOR [0.0345] | MYND-type domain-containing protein [0.0299] | BTB domain-containing protein [0.0169] | Tetratricopeptide repeat protein [0.0166] | WD_REPEATS_REGION domain-containing protein [0.0162] | Anaphase-promoting complex subunit 5 [0.0107] | Anaphase-promoting complex subunit 7 [0.0060],False,False,False,False,GO:0005575,cellular_component,0.8099,1,GO:0044424,intracellular part,0.7565,2,20,14,11,intracellular part | regulation of signal transduction | regulation of biological process | regulation of signaling | regulation of response to stimulus | regulation of cell communication | positive regulation of biological process | positive regulation of signaling | positive regulation of signal transduction | cytosol | positive regulation of cell communication | positive regulation of response to stimulus | organelle part | ATP binding,True,True,True,3,Regulates cell motility and extracellular matrix organization.,7,1,,False,Lipid metabolism; fatty acid metabolism.,5,20,,False,Interacts with B'GAMMA and B'GAMMA in a GTP-dependent manner.,9,4,,False,False,0
B9J08_004291,B9J08_004291,B9J08_004291-t37_1,hypothetical protein,662,5,0,RNA-dependent RNA polymerase,0.1384341047415855,RNA-dependent RNA polymerase [0.1384] | SET domain-containing protein [0.0421] | Piwi domain-containing protein [0.0324] | EC:3.6.4.13 [0.0291] | DUF3715 domain-containing protein [0.0245] | EC:2.7.7.48 [0.0156] | EC:3.6.4.12 [0.0132] | DNA-directed DNA polymerase [0.0121] | DNA-directed RNA polymerase [0.0101] | RT_RNaseH_2 domain-containing protein [0.0092],False,False,False,False,GO:0008150,biological_process,0.8427,1,GO:0071704,organic substance metabolic process,0.5771,5,19,9,8,"organic substance metabolic process | metabolic process | primary metabolic process | intracellular membrane-bounded organelle | intracellular part | nucleus | regulation of biological process | nitrogen compound metabolic process | catalytic activity, acting on a nucleic acid",True,True,True,3,This protein is an enzymatically inactive ribonucleoside triphosphatase.,8,1,,False,Organosulfur degradation.,2,10,,False,Homodimer.,1,182,,False,False,0
B9J08_003744,B9J08_003744,B9J08_003744-t37_1,hypothetical protein,147,4,0,T-SNARE coiled-coil homology domain-containing protein,0.1352730555730524,T-SNARE coiled-coil homology domain-containing protein [0.1353] | Syntaxin-5_N domain-containing protein [0.0258] | Hypothetical protein [0.0246] | Str. FM013 [0.0203] | Syntaxin-32-like [0.0080] | Syntaxin-32 [0.0064] | Syntaxin-6_N domain-containing protein [0.0063] | Tymo-45kd-70kd domain containing protein [0.0059] | Tymo-45kd-70kd multi-domain protein [0.0053] | Potassium voltage-gated channel subfamily H member 2 [0.0036],False,False,False,False,GO:0008150,biological_process,0.9425,1,GO:0016043,cellular component organization,0.6932,3,19,15,5,"cellular component organization | cellular component organization or biogenesis | cellular component assembly | regulation of gene expression | regulation of biological process | regulation of metabolic process | negative regulation of cellular biosynthetic process | negative regulation of biosynthetic process | regulation of macromolecule metabolic process | negative regulation of macromolecule biosynthetic process | regulation of cellular biosynthetic process | negative regulation of transcription, DNA-templated | regulation of primary metabolic process | chromatin organization | regulation of biosynthetic process",True,True,True,3,"Atypical chromatin regulator which acts as a repressor of many genes that are induced as cells make the transition from rapid exponential growth to stationary phase. Represses the transcription of a large number of genes, including Hox genes, by binding to a subset of them and recruiting chromatin-modifying proteins.",49,1,,False,Protein modification; protein ubiquitination.,4,16,,False,Interacts with MPK6.,3,2,,False,False,0
